pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label_asli
448,43904,459,837000000,460000000000.0,5,2063,29,2842,0,1,ICMP,2,271500292,271513628,1,1.0,2.0,0
656,64288,671,864000000,672000000000.0,9,1278,30,2940,1,0,ICMP,2,135367862,135466006,0,0.0,0.0,0
37268,39727688,82,82000000,82082000000.0,2,1109,13541,14434706,451,0,UDP,4,3446,75055080,0,6456.0,6456.0,0
85470,4957260,286,960000000,287000000000.0,5,8050,8393,486794,279,1,TCP,1,6387285,151694236,0,122.0,122.0,1
266,26068,272,819000000,273000000000.0,9,4942,29,2842,0,1,ICMP,2,134093387,406738729,2,2.0,4.0,0
38647,40270174,123,461000000,123000000000.0,3,1931,9373,9766666,312,0,UDP,2,3492,1422,0,0.0,0.0,1
770,75460,789,958000000,790000000000.0,11,2063,29,2842,0,1,ICMP,2,92713,135548742,0,0.0,0.0,0
348,22968,1,222000000,1222000000.0,3,22,0,0,0,1,TCP,2,29686,675400,7,179.0,186.0,0
430,42140,441,203000000,441000000000.0,4,948,29,2842,0,1,ICMP,2,105029107,47733,2534,0.0,2534.0,0
72910,75972220,233,367000000,233000000000.0,3,1931,9314,9705188,310,0,UDP,2,3649,1242,0,0.0,0.0,1
184,18032,189,805000000,190000000000.0,11,2063,29,2842,0,1,ICMP,3,271300939,135854191,2,2.0,4.0,0
81351,89776462,183,333000000,183000000000.0,7,8050,13090,14586988,436,1,TCP,3,92935358,5835270,4271,424.0,4695.0,0
118773,123761466,413,384000000,413000000000.0,2,1931,6237,6498954,207,0,UDP,2,3826,1312,0,0.0,0.0,1
77782,81048844,260,440000000,260000000000.0,10,3421,9043,9422806,301,1,ICMP,4,135833079,283932903,2,5022.0,5024.0,1
43701,45536442,137,241000000,137000000000.0,13,3024,9642,10046964,321,1,ICMP,2,5164,1312,0,0.0,0.0,1
890,87220,911,668000000,912000000000.0,5,3443,30,2940,1,0,ICMP,1,135457297,91758,0,0.0,0.0,0
291,28518,298,476000000,298000000000.0,11,2364,29,2842,0,1,ICMP,1,123063421,122245522,5644,5644.0,11288.0,0
106343,113361638,235,315000000,235000000000.0,3,8803,13375,14257750,445,0,UDP,3,276817045,143930035,0,0.0,0.0,0
61537,3569146,196,870000000,197000000000.0,3,7385,8676,503208,289,1,TCP,3,9918666,149097077,133,124.0,257.0,1
34304,38595336,79,143000000,79143000000.0,5,7412,13198,14615796,439,1,TCP,5,308398715,59191373,167,3920.0,4087.0,0
79470,84715020,173,627000000,174000000000.0,3,2385,13468,14356888,448,0,UDP,3,110858482,3572,6430,0.0,6430.0,0
